id,byear,H1a,pre-industrialized society,political event,personal youth,anti-europe,pre-industrialized society,nationalism,solidar society,pre-polarized society,colonialism,sports event
R_12QpQytQKnGeudk,1955,Ik ben historicus. Ik verlang niet terug naar vroeger.,NA,,,,,,,,,
R_12RncRfv0yYGcOH,1954,"Geen, heeft geen zin",NA,,,,,,,,,
R_12Row6M9IG0ZSt1,1988,Naar morgen.,NA,,,,,,,,,
R_12tAe39VZnrEFdd,1947,gisteren,NA,,,,,,,,,
R_12x7Bge9dctlLnm,1962,Geen,NA,,,,,,,,,
R_12zlbWgIJxGrUzv,1968,,NA,,,,,,,,,
R_1BPCsxR0A2LIPVj,1953,De jaren 70,personal youth,,1,0,0,0,1,0,0,0
R_1BWyZJovM4g1pYO,1960,De jaren zestig,personal youth,,1,0,0,0,1,0,0,0
R_1BXUiT2Htn1zAAn,2001,-,NA,,,,,,,,,
R_1C41S5HVrVdT1Xt,1989,":( de toekomst.
Nu, anders? Seconde geleden is geschiedenis, denk ik.",NA,,,,,,,,,
R_1C48P5oWz7GOIq1,1955,Jaren 80,solidar society,,1,0,0,0,1,0,0,0
R_1Cdd03HFM2WErME,1953,geen voorkeur,NA,,,,,,,,,
R_1CeenNDdAI1gk3h,1995,Pre-covid voordat het land extra verdeelt werd.,pre-polarized society,1,1,0,0,0,0,1,0,0
R_1CefvfQ0SexT0DN,1961,Een tijd waarop er nog niet zoveel polarisatie was. Kan daar moeilijk een datum op plakken.,pre-polarized society,,0,0,0,0,0,1,0,0
R_1CEg96wHzAS5sht,1952,"De jaren zeventig! Humor ,moppen vertellen ,vrouwen baas in buik etc !",personal youth,1,1,0,0,0,1,0,0,0
R_1CeUUsUX6Nqm5Fj,1998,"Het heden, als ""civilization"" gaan we vooruit. Het terugkijken naar vroeger is een nostalgische droom waarin men de negatieve aspecten gouw vergeet",NA,,,,,,,,,
R_1CfnEzm7gIwsJ6W,1980,"Geen enkele, dat heeft namelijk geen zin en met de kennis van nu is alles toch anders.",NA,,,,,,,,,
R_1CK1RIeNciw656j,1958,De middeleeuwen,pre-industrialized society,,0,0,1,0,0,0,0,0
R_1ClPjNZcwQ6DAB9,1969,Geen dat is onzin,NA,,,,,,,,,
R_1Cmr8MFLtjzu19Y,1946,Geen idee,NA,,,,,,,,,
R_1cSSkEnAeg1L8Hp,1981,,NA,,,,,,,,,
R_1cUH1Igkiwv8zqe,1973,,NA,,,,,,,,,
R_1cUIz4Zw3dkjO62,1999,"In de tijd van Willem van Oranje en de 80 jarige oorlog. Niet de oorlog, maar wel dat het koningshuis en een groot deel van de bevolking nog de echte christelijke normen en waarden kennen die veel mensen en het koningshuis nu niet meer kennen",pre-industrialized society,1,0,0,1,0,0,0,0,0
R_1cULmb3nRDMUWkd,1976,Niet,NA,,,,,,,,,
R_1CvfoexxB68pCH1,1952,Geen,NA,,,,,,,,,
R_1Cwgci1aNBOaj5Z,1975,"Ik leef liever in het NU en kijk naar de toekomst. Kijken naar geleerde lessen uit de geschiedenis heeft nog wel nut. Blijven hangen in dat het vroeger beter was.... daar schieten we niets mee op: wat geweest is, is geweest.",NA,,,,,,,,,
R_1Cydw9Y500bD8AJ,1954,"nergens naar, elke tijd had zijn eigen problemen",NA,,,,,,,,,
R_1cZXgwiE96MhnGq,1958,wederopbouw na WO2,solidar society,1,1,0,0,0,1,0,0,0
R_1davlVL8B0p7BKx,1970,Ek overwinning 1988,nationalism,,1,0,0,1,0,0,0,1
R_1DBXZONJXbvHdwK,1947,Geen,NA,,,,,,,,,
R_1dcxxEqY21yK83I,1956,Maanlanding,personal youth,1,1,0,0,0,0,0,0,0
R_1dE7lMEDnl4VeHa,1973,Dat er genoeg leef en speel ruimte wa en minder de prestatie drang op gelegd vanuit de maatschappij.,solidar society,,0,0,0,0,1,0,0,0
R_1dEQHwDTXyJ5Gwn,1990,Ik verlang niet terug naar een periode gebaseerd op tijdsgeest,NA,,,,,,,,,
R_1dfQez8cRkQHWg9,1944,,NA,,,,,,,,,
R_1dGBE5sLRcoAHjn,1962,Eigenlijk niets,NA,,,,,,,,,
R_1DGXu1OIoqcUcjN,1990,Ik verlang niet terug. Dat is een zinloze zaak.,NA,,,,,,,,,
R_1dgyqICKKITb04n,1943,Geen enkel,NA,,,,,,,,,
R_1di7X5YZLSOt2ZB,1958,jaren 60,personal youth,,1,0,0,0,1,0,0,0
R_1DJaRHi0IKg60VE,1953,de jaren zestig,personal youth,,1,0,0,0,1,0,0,0
R_1djdRpWDzBWXTy2,1999,Het moment dat de huizenprijzen nog laag waren,personal youth,,1,0,0,0,1,0,0,0
R_1dKTg9Pn2XFwSJV,1948,"Naar de tijd dat er geen euro was en geen EU, maar een handelsunie met Frankrijk, Duitsland, Engeland,",anti-europe,,0,1,0,1,0,0,0,0
R_1dM0QOHlZ5IgwDv,1947,Geen; vroeger was het zeker niet beter. Maar de huidige globalisering met haar onzekerheden is een snoepwinkel voor totalitaire doelstellingen. Ik mis wel de inhoudelijke kracht van de politieke wetenschappelijke bureaus. Ik mis wijsheid en langer termijn visie.,NA,,,,,,,,,
R_1DMtOmnC4yKGW9s,1952,1960,personal youth,,1,0,0,0,1,0,0,0
R_1dnohv6ha6K6iti,1935,1945,personal youth,,1,0,0,0,1,0,0,0
R_1dnsyH1lBWapV04,1952,,NA,,,,,,,,,
R_1DnzROudXN8t8ec,1985,Geen. We moeten vooruit kijken,NA,,,,,,,,,
R_1dowZJ3fygqCdEt,1990,,NA,,,,,,,,,
R_1DTDkxacnAzfsrb,1938,"Naar niet een moment. Herinnering is een beter woord. De herinnering dat een vriend destijds (hij en ik waren een jaar of 15) op een nieuwe Puch kwam aanrijden en ik toen voor het eerst een pijnlijk verschil tussen arm en rijk voelde. Onmacht was mijn reactie,  geen jaloezie",personal youth,,1,0,0,0,0,0,0,0
R_1DU62dqhYC5fynX,1955,Geen....,NA,,,,,,,,,
R_1duFGg3moC2pxzt,1954,"Dat er geen polarisatie is. Dat is heden heel erg.
En minder immigratie. Land is overvol.",pre-polarized society,,0,0,0,1,0,1,0,0
R_1Dukiy3j94TakTB,1990,Niet. Naar nu en de toekomst,NA,,,,,,,,,
R_1dvpXTS2zFtLTlA,1966,val van de muur in Berlijn. (vrijheid voor iedereen),solidar society,1,0,0,0,0,1,1,0,0
R_1Dworqjqfo0Hm6R,1941,Naar mijn jonge jaren.,personal youth,,1,0,0,0,0,0,0,0
R_1DZKv1rNfftIcjW,1968,Autoloze zondagen,personal youth,1,1,0,0,0,0,0,0,0
R_1E6jrqfSGS7dF6S,1946,Provo- en kabouterpartij,personal youth,,0,0,0,0,1,0,0,0
R_1EcD3XQuhZ0PCYf,1994,Jarem 90,personal youth,,1,0,0,0,0,1,0,0
R_1EcetWqbmACGAy5,1999,Eiind jaren 60,solidar society,,0,0,0,0,1,0,0,0
R_1Ecw35Fuf65cVfk,1970,,NA,,,,,,,,,
R_1EdnhoLn46XcwdT,1986,Ik zou liever een toekomstperspectief zien voor nederland,NA,,,,,,,,,
R_1eEJ9LWcp0fcE3u,1966,voor de eu,anti-europe,1,0,1,0,1,0,0,0,0
R_1EgSIOJD7sMnRm7,1975,geen,NA,,,,,,,,,
R_1eItL2jTvi7IQH6,1968,de jaren 90,pre-polarized society,,0,0,0,0,0,1,0,0
R_1eIy4v54Z9UzU2h,1970,"Geen enkel.
Hoewel de naïviteit die wehadden in de jaren ‘90 wel prettig was.",pre-polarized society,,0,0,0,0,0,1,0,0
R_1eLbzZrqn2MgQn7,1986,,NA,,,,,,,,,
R_1eLSxCVryY3hBD9,1946,Mijn jeugd,personal youth,,1,0,0,0,0,0,0,0
R_1eqpuKvCah9lQ12,1982,"De tijd voordat de preutsheid toesloeg en we nog gewoon mochten zeggen wat we dachten, zonder dat 3/4 van de bevolking zich dan gekwetst voelden en je gecanceld werd. De tijd waarin we nog luisterde naar wat iemand bedoelde, in plaats zelf het slechtste en extreemste in te vullen. 
De tijd waarin mensen nog iets voor elkaar over hadden, zonder daar zelf beter van te worden. 
En de tijd dat het nog niet zo druk was overal en mensen niet zo opgefokt en geïrriteerd waren.",pre-polarized society,,0,0,0,0,1,1,0,0
R_1eQyu7w80DLqqhe,1951,niet,NA,,,,,,,,,
R_1eREsmW6jfg2Mhm,1951,Geen,NA,,,,,,,,,
R_1eUYQ7ZswX7dTOb,1950,Jaren zestig?!,personal youth,,1,0,0,0,1,0,0,0
R_1eVMAFDNexik6ip,1955,geen,NA,,,,,,,,,
R_1EWJ6vcxfqaL5YN,1953,Vredestijd.,solidar society,,0,0,0,0,1,0,0,0
R_1ewN2KpAfDZkz1j,1998,"Geen enkel moment, ik denk dat we wat betreft mensenrechten op een behoorlijk goed punt zitten. Maar als ik moest kiezen wellicht de prehistorie, ten tijde van de ontwikkeling van het schrift, voor het bestaan van de religies die de mensheid en ontwikkelingen terughouden.",pre-industrialized society,,0,0,1,0,0,0,0,0
R_1ewQdSgZqFDRRal,1966,Terug verlangen heeft geen zin. Is geweest en komt niet meer terug,NA,,,,,,,,,
R_1ewSBiLLbFWzu7a,1996,"Geen moment, hier en nu, ik zou geen jaar eerder geboren willen zijn",NA,,,,,,,,,
R_1eWU0GBOxGnUfoF,1957,"Landelijke enquête 
En de uitkomst honoreren",NA,,,,,,,,,
R_1exDhQlHGbe1PHd,1992,Middeleeuw,pre-industrialized society,,0,0,1,0,0,0,0,0
R_1eXfWL3FebcC23s,1975,"Denk dat elke periode zijn voor en tegens heeft, denk alleen dat er keuzes zijn gemaakt die op dit moment veel problemen veroorzaken.
Op zich ben ik niet tegen Europa maar we zijn niet in staat om op 1 lijn te komen binnen Europa en blijven landen toch hun eigen ding doen. Tevens heeft Europa zich de laatste jaren gepresenteerd als een geld verslindende operatie met veel luchtfietserij.",anti-europe,,0,1,0,0,0,0,0,0
R_1EYcIWIjNQrWY9z,1977,Geen,NA,,,,,,,,,
R_1f0BTJ3GKusqPh0,1956,Val van de muur en ontspanning tussen oost en west,solidar society,1,0,0,0,0,1,1,0,0
R_1f0K8EgZ19IJlEH,1992,De periode tussen het vallen van de Sovjet-Unie en 11 september en de periode tussen het einde van de economische crisis eind jaren ‘00 en 2016.,solidar society,1,0,0,0,0,1,1,0,0
R_1f2fOGKMyX67E4C,1946,2015/2021,NA,,,,,,,,,
R_1f3fiSHYrdOMQih,1966,"De eerste regeerperiode van Obama, waarop er in bijna de gehele wereld een optimisme hing, en het erop leek dat er meer naar onderlinge verbinding, begrip en gelijkheid tussen mensen en landen zou komen.",pre-polarized society,,0,0,0,0,1,1,0,0
R_1f3HoxEn7iFU53K,1959,Een jaar terug,NA,,,,,,,,,
R_1f3psPFiqMzL0jH,1985,"Ik verlang niet echt terug naar iets    maar sommige dingen waren voorheen beter geregeld. Zoals het zorgstelsel (geen eigen risico),  de woningmarkt,) (goedkoper, meer kansen) momenteel is alles vrij duur geworden zoals boodschappen, huren, etc. Voor mijn gevoel is NL ook steeds rechtser geworden, er is iig meer aandacht voor geschreeuw van rechtse, racistische partijen, complotaanhangers etc. En van mij mag Rutte eindelijk eens opzouten, ben best klaar met de VVD aan het roer",solidar society,,0,0,0,0,1,0,0,0
R_1F54HLpXmYA5YMV,2002,1700,pre-industrialized society,,0,0,1,0,0,0,0,0
R_1F5KdeArkYE6akx,1978,Voor Rutte,pre-polarized society,1,1,0,0,0,0,1,0,0
R_1f7bVlhmL5RqXol,1948,1970,personal youth,,1,0,0,0,1,0,0,0
R_1F9OTyxWYGzgKi6,1952,,NA,,,,,,,,,
R_1Fby23iys3V1bBv,1988,Niet,NA,,,,,,,,,
R_1fdz3bkllLRKsfY,1955,Niet,NA,,,,,,,,,
R_1ffo0ZWtQ6rT0Ug,1929,is er niet,NA,,,,,,,,,
R_1ffpGuOgEGqbrGr,1946,Kabinet Den Uyl,solidar society,1,0,0,0,0,1,0,0,0
R_1FfZvoMGgSLKuYs,1954,"jaren '60
",personal youth,,1,0,0,0,1,0,0,0
R_1fgd37MLBHcBs9t,1962,1945 tot 1965,solidar society,,1,0,0,0,1,0,0,0
R_1FhTEmMOG1m4I0x,2003,De tijd dat een eenverdiener een gezin kon onderhouden.,solidar society,,0,0,0,0,1,0,0,0
R_1FIBw0g7dyh82HX,1950,"Niet in de verleden leven, morgen moet alles beter.",NA,,,,,,,,,
R_1fj8RRBKfm2h7Oc,1947,"Jaren 60 , 70 en 80",solidar society,,1,0,0,0,1,0,0,0
R_1fkCCGbW6pN0xnR,1947,,NA,,,,,,,,,
R_1FKzO8dCcS0LAGm,1993,"Onzinnige vraag, maar in het kader van dit onderzoek zal ik het beantwoorden. Ik zou wel in de jaren 80 hebben geleefd.",solidar society,,0,0,0,0,1,0,0,0
R_1Fl5yqh9QBj9czf,1977,Behalve mijn geboorte geen specifiek moment,personal youth,,1,0,0,0,0,0,0,0
R_1FlG3fpUWb96khw,1993,,NA,,,,,,,,,
R_1FM1AK5qClIFqiI,1986,Naar de jaren 90,pre-polarized society,,1,0,0,0,0,1,0,0
R_1FmjvCYyMXZllmq,1941,Naar minister president Den Uyl. Die stond nog voor idealen,solidar society,,0,0,0,0,1,0,0,0
R_1FmRdqcMGpS9Yh4,1956,"De jaren dat we nog 12,miljoen mensen hadden",nationalism,,0,0,0,1,0,0,0,0
R_1FnBybWd9U44rW0,1946,"Geen reële vraag ,aan welke leeftijdscategorie vraag je dit ?",NA,,,,,,,,,
R_1FnqsP8T1BVurMF,1951,De jaren 80,solidar society,,1,0,0,0,1,0,0,0
R_1FP0aRcCpyRVmng,1960,verlangen naar wat is gewwest heeft weinig zin,NA,,,,,,,,,
R_1FPXxdqpGlpberM,1967,Jaren 90,pre-polarized society,,1,0,0,0,0,1,0,0
R_1FR6tcflGGugxMB,1993,heden,NA,,,,,,,,,
R_1FRFifLVGofGUVa,1976,"Toen er minder politieke partijen waren. En toen je nog ""vrij uit"" kon praten, zonder bang te zijn dat iemand zich meteen beledigd voelt.",pre-polarized society,,0,0,0,0,0,1,0,0
R_1Fs2ALZWDe2yBIS,1940,?,NA,,,,,,,,,
R_1FS5bAeyHiRXTFi,1953,De jaren rond 1970,personal youth,,1,0,0,0,1,0,0,0
R_1FwtT6LGMTcgG5P,1955,Geen idee,NA,,,,,,,,,
R_1FynCi6dCy9UUU6,1965,De tijd voor Rutte en Balkenende,pre-polarized society,1,1,0,0,0,0,1,0,0
R_1fZro4cJ8ANATX8,1968,Nvt,Na,,,,,,,,,
R_1g6AMcnn4B5qto7,1963,Jaren 70 en 80,personal youth,,1,0,0,0,1,0,0,0
R_1g6KlgNRQBtn8p9,1989,Romeinse periode,pre-industrialized society,,0,0,1,0,0,0,0,0
R_1GB18KOXg3WppMy,1973,Geen idee,NA,,,,,,,,,
R_1gCkFpFH1g4QfcD,1952,,NA,,,,,,,,,
R_1gcrZvX3NnKO2MK,1955,jaren 70,personal youth,,1,0,0,0,1,0,0,0
R_1gCsOV782tpV2uP,1950,Geen idee..,NA,,,,,,,,,
R_1GCU6XC6Wn6B9Gf,1951,Val van de muur,solidar society,1,0,0,0,0,1,1,0,0
R_1gd8fTDX5y1dwe2,1974,geen enkel,NA,,,,,,,,,
R_1gdnsoBFCNGLYeK,1974,Rutte 1 en 2,pre-polarized society,1,1,0,0,0,0,1,0,0
R_1GHuoArmqQTOhHl,1947,Mijn geboorte,personal youth,,1,0,0,0,0,0,0,0
R_1GK1IJyfDwnxQmF,1955,Jaren 90 van de 20e eeuw,pre-polarized society,,0,0,0,0,0,1,0,0
R_1gLQ6ry4HsgwIpV,1951,Niets,NA,,,,,,,,,
R_1gNKpDxOQvwDhxK,1966,Jaren 1980-1990,personal youth,,1,0,0,0,1,1,0,0
R_1gnMncxix59qhES,1947,,NA,,,,,,,,,
R_1gNs0TmZH7nThCH,1956,,NA,,,,,,,,,
R_1GNugaMIEcRjI3O,1956,Voor mij onzinnige vraag aangezien dit niet realiseerbaar is. Mocht er toch een tijd zijn dan die waarin mensen met elkaar in gesprek zijn ondanks mogelijke verschillen van mening,NA,,,,,,,,,
R_1GOdhrVu9OralH0,1948,N.v.t.  verlang nergens naar terug,NA,,,,,,,,,
R_1GOlGbmqsaq8KOG,1959,Geen social media,personal youth,,0,0,0,0,0,1,0,0
R_1gOYCNF8mZh4KGo,1959,ik hoop op een betere toekomst,NA,,,,,,,,,
R_1GP8rZkKbSFqgiS,1943,de jaren 70,personal youth,,1,0,0,0,1,0,0,0
R_1gpzW6m2GzEo52G,1964,Elfstedentocht,nationalism,,0,0,0,1,0,0,0,1
R_1gT5y9EAcPpq1Uy,1970,,NA,,,,,,,,,
R_1gT7hgFP2pQR9fq,1952,1975,personal youth,,1,0,0,0,1,0,0,0
R_1gT8FanQ3dxe9Br,1998,"Wellicht enkele jaren terug wanneer er minder conflict was in Nederland, er minder angst was voor terreur, mensen nog goed de krant lazen ipv dingen van facebook lazen en nog pro europa waren",pre-polarized society,,0,0,0,0,0,1,0,0
R_1GTdKVMyZlRmeXH,1966,Huh? In ieder geval niet naar de Middeleeuwen. Ook niet naar daarvoor en daarna. Ik verlang naar 2023.,NA,,,,,,,,,
R_1GThXCt10fUliM9,1970,1970-1980,personal youth,,1,0,0,0,1,0,0,0
R_1GTtBa4PEgc1XBC,1975,Nvt,NA,,,,,,,,,
R_1GTzl4KyMcADi7x,1940,"naar de jaren na de tweede wereldoorlog. Toen had men nog aandacht en tijd voor elkaar en je had het idee iets te kunnen opbouwen. Nu is dat allemaal afgebroken door de politiek, de rest van de overheid, de belastingen en het onbetrouwbare bedrijfsleven.",solidar society,,1,0,0,0,1,0,0,0
R_1GUNEExKedlHakt,1970,1989,personal youth,,1,0,0,0,0,1,0,0
R_1GV0HbGnF2JRtnC,1938,Dat is een onmogelijke vraag,NA,,,,,,,,,
R_1Gv5iwgbY29Jgsq,1958,De guldentijd en de tijd dat tevredenheid gewoon was.,anti-europe,,0,1,0,1,0,0,0,0
R_1GVwzZK0boSADZE,1961,Voor de islam en derdewereldgangers Import !,colonialism,,0,0,0,1,0,0,1,0
R_1GVyEUHSqrC2ICK,1957,de val van de Berlijnse muur,solidar society,1,0,0,0,0,1,1,0,0
R_1Gw7YCYEfn2cdqE,1976,Middeleeuwen (uit interesse),pre-industrialized society,,0,0,1,0,0,0,0,0
R_1gwnly9ZVsfZOkC,1952,2050 in een CO2 neutrale wereld,NA,,,,,,,,,
R_1GxiMNi7uYngPne,1946,helemaal niet,NA,,,,,,,,,
R_1GZ8HxcxbfLEj19,1997,Dat Nederland het meest progressieve land is of het moment dat het aanvoelde alsof er geen zorgen waren in welke vorm van zekerheid dan ook.,solidar society,,0,0,0,1,1,0,0,0
R_1GZV9t37ozJsidc,1963,De tijd voor corona en voor de oorlog in Oekraïne.,pre-polarized society,,0,0,0,0,0,1,0,0
R_1H6wDrvFwrOnE5b,1939,Einde van WO2,solidar society,,1,0,0,0,1,0,0,0
R_1hFQlY3IwVGkxIY,1947,ik kijk liever vooruit,NA,,,,,,,,,
R_1Hi623xhkYMbWfm,1996,,NA,,,,,,,,,
R_1hJZpUSBiNUiqV8,1969,Te ingewikkeld. Elke tijd heeft zijn voor- en nadelen. Toch het nu als ik moet kiezen,NA,,,,,,,,,
R_1hKBR5hnLRAcJyX,1956,"Weet ik niet
",NA,,,,,,,,,
R_1Hkrw8L3QqZJDBT,1953,,NA,,,,,,,,,
R_1HpcQ79POAPHWMK,1982,De jaren 70-80 van de 20e eeuw. Men verlangde nog niet naar oneindige groei en contine zelf exposure. Men was tevreden met kleine dingen en er was nog ruimte in de natuur.,pre-industrialized society,,1,0,1,0,1,0,0,0
R_1HqmwS21J1c0P2b,1960,Ik kijk niet terug,NA,,,,,,,,,
R_1HqOb9iT1wm3xqB,1987,Eind jaren 90,personal youth,,1,0,0,0,0,1,0,0
R_1hRzxRd7sxNlWcI,1948,jaren 50-60,personal youth,,1,0,0,0,1,0,0,0
R_1hXaHcVdDCmb2fu,1972,"Geen. Terugkijken is leuk, maar heeft geen zin. Het gaat om de toekomst!",NA,,,,,,,,,
R_1hXfmjJIIo12wJ3,1975,1980,personal youth,,1,0,0,0,1,0,0,0
R_1hyDEIDX3hck1GP,1995,Ik verlang niet terug naar vroeger. De maatschappij is erg ver en er komen erg mooie veranderingen aan de komende decennia(des ondanks dat alles nu een crisis wordt genoemd),NA,,,,,,,,,
R_1hywcSiHQ1G16At,1964,"de disco op de ferry naar Engeland, lang geleden",personal youth,,1,0,0,0,0,0,0,0
R_1hZonOpH2BPTtYx,1956,De jaren zestig,personal youth,,1,0,0,0,1,0,0,0
R_1i2UdIfkCYlX1iS,1971,Jaren 90,personal youth,,1,0,0,0,0,1,0,0
R_1i3hOCMwLObZdm4,1954,Naar geen moment.,NA,,,,,,,,,
R_1i3WmQwhGwzQ4Xj,1970,"Ik denk dat de tweede helft van de 19e eeuw lekker rustig was in Nederland.
De periode 1945 tot 2000 was ook prima.",solidar society,,0,0,1,0,1,1,0,0
R_1i41o1xByJrKUOf,1955,Jong zijn,personal youth,,1,0,0,0,0,0,0,0
R_1I42ZdVtMhYNtq9,1984,"Jaren 90, voor de opkomst van internet en digitale tijdperk",pre-polarized society,,1,0,0,0,0,1,0,0
R_1I4KY93hNVDvFUS,1984,Eind 20e eeuw,pre-polarized society,,1,0,0,0,0,1,0,0
R_1I4NHALuA5a3jvm,1952,De jaren 1960-1980,personal youth,,1,0,0,0,1,0,0,0
R_1I4nysuMMtosPGm,1972,10 September 2001,pre-polarized society,1,0,0,0,0,0,1,0,0
R_1i4os5hLobdgjAm,1957,"Niet, ik leef nu!",NA,,,,,,,,,
R_1I6FNdQWTGKsiHC,1979,jaren 50,solidar society,,0,0,0,0,1,0,0,0
